g1(872.0)@[4.576440971E9, 4.576441085E9]
g1(542.0)@[4.6314715839E10, 4.6314715943E10]
g1(95.0)@[1.5614803549E10, 1.5614803657E10]
g1(629.0)@[3.4801729862E10, 3.4801729974E10]
g1(370.0)@[6.145640979E10, 6.1456409904E10]
g1(506.0)@[2.2853495935E10, 2.2853496061E10]
g1(488.0)@[4.1793241179E10, 4.1793241288E10]
g1(761.0)@[4.9537571279E10, 4.953757137E10]
g1(67.0)@[4.2748505405E10, 4.2748505514E10]
g1(399.0)@[8.50947779E8, 8.50947912E8]
g1(750.0)@[2.1229200306E10, 2.1229200417E10]
g1(184.0)@[1.3997798899E10, 1.3997799029E10]
g1(658.0)@[4.3634614721E10, 4.3634614834E10]
g1(772.0)@[5.9561425326E10, 5.9561425427E10]
g1(767.0)@[5.8383052141E10, 5.838305224E10]
g1(168.0)@[3.4827708903E10, 3.4827709009E10]
g1(794.0)@[5.52496367E10, 5.5249636799E10]
g1(947.0)@[2.6355843287E10, 2.6355843418E10]
g1(783.0)@[1.004173251E9, 1.00417337E9]
g1(32.0)@[5.6716777497E10, 5.6716777615E10]
g1(247.0)@[3.526523462E10, 3.5265234713E10]
g1(352.0)@[3.522203594E9, 3.522203696E9]
g1(402.0)@[3.2380178566E10, 3.2380178687E10]
g1(911.0)@[5.0617421903E10, 5.0617422003E10]
g1(124.0)@[3.053798185E9, 3.053798293E9]
g1(369.0)@[3.1560233214E10, 3.1560233323E10]
g1(284.0)@[4.2869409231E10, 4.2869409341E10]
g1(947.0)@[5.1916592278E10, 5.1916592423E10]
g1(990.0)@[1.5170279154E10, 1.5170279273E10]
g1(658.0)@[4.1093015982E10, 4.1093016097E10]
g1(78.0)@[5.0352050512E10, 5.0352050644E10]
g2(400.0, 658.0)@[4.1093016006E10, 4.1093016069E10]
g2(624.0, 878.0)@[1.8793008518E10, 1.8793008619E10]
g2(902.0, 498.0)@[4.3181004865E10, 4.3181004956E10]
g2(955.0, 859.0)@[2.1332202459E10, 2.1332202555E10]
g2(918.0, 402.0)@[3.2380178587E10, 3.238017868E10]
g2(369.0, 794.0)@[5.5249636708E10, 5.5249636801E10]
g2(99.0, 271.0)@[1.6765512616E10, 1.6765512699E10]
g2(896.0, 230.0)@[3.7734076568E10, 3.773407668E10]
g2(509.0, 184.0)@[1.3997798903E10, 1.399779902E10]
g2(346.0, 761.0)@[4.9537571289E10, 4.9537571364E10]
g2(458.0, 783.0)@[1.004173255E9, 1.004173354E9]
g2(730.0, 247.0)@[3.5265234625E10, 3.526523471E10]
g2(878.0, 78.0)@[5.0352050536E10, 5.0352050624E10]
g2(384.0, 990.0)@[1.5170279175E10, 1.5170279257E10]
g2(371.0, 393.0)@[1.6846445356E10, 1.6846445433E10]
g2(309.0, 204.0)@[3.1276494037E10, 3.1276494124E10]
g2(473.0, 448.0)@[5.254389274E9, 5.254389371E9]
g2(101.0, 772.0)@[5.9561425336E10, 5.9561425424E10]
g2(231.0, 764.0)@[5.0455931635E10, 5.0455931725E10]
g2(483.0, 767.0)@[5.8383052136E10, 5.8383052234E10]
g2(274.0, 658.0)@[4.3634614734E10, 4.3634614833E10]
g2(345.0, 414.0)@[4.9467749426E10, 4.9467749508E10]
g2(633.0, 750.0)@[2.1229200316E10, 2.1229200404E10]
g2(723.0, 67.0)@[4.2748505409E10, 4.2748505505E10]
g2(841.0, 540.0)@[3.7405923898E10, 3.7405923991E10]
g2(313.0, 124.0)@[3.053798198E9, 3.05379828E9]
g2(152.0, 808.0)@[4.9275856995E10, 4.9275857069E10]
g2(731.0, 32.0)@[5.6716777515E10, 5.6716777609E10]
g2(477.0, 947.0)@[2.6355843304E10, 2.6355843405E10]
g2(410.0, 799.0)@[3.7118584299E10, 3.7118584392E10]
g2(81.0, 911.0)@[5.0617421901E10, 5.0617422E10]
g2(904.0, 872.0)@[4.576440978E9, 4.576441074E9]
g2(913.0, 558.0)@[2.152222062E10, 2.1522220713E10]
g2(553.0, 369.0)@[3.1560233224E10, 3.1560233321E10]
g2(136.0, 352.0)@[3.522203599E9, 3.522203674E9]
g3(216.0, 168.0)@[3.4827708907E10, 3.4827709012E10]
g3(748.0, 658.0)@[1.632645357E9, 1.632645397E9]
