g1(638.0, 680.0)@[1.977518182E10, 1.9775181929E10]
g1(467.0, 986.0)@[5.6802532414E10, 5.6802532507E10]
g1(862.0, 368.0)@[3.1244486415E10, 3.124448651E10]
g1(11.0, 430.0)@[3.0364756887E10, 3.0364756976E10]
g1(198.0, 622.0)@[3.7364779886E10, 3.7364779983E10]
g1(452.0, 464.0)@[5.8577227495E10, 5.8577227566E10]
g1(289.0, 3.0)@[5.6502977888E10, 5.6502977991E10]
g1(981.0, 106.0)@[1.3830009893E10, 1.3830009993E10]
g1(196.0, 761.0)@[1.2112675859E10, 1.2112675948E10]
g1(293.0, 495.0)@[4.3786263081E10, 4.3786263192E10]
g1(611.0, 184.0)@[5.004435347E10, 5.0044353561E10]
g1(107.0, 596.0)@[3.1778367738E10, 3.1778367826E10]
g1(249.0, 389.0)@[1.6883025904E10, 1.6883026007E10]
g1(830.0, 725.0)@[5.082616628E9, 5.082616715E9]
g1(287.0, 310.0)@[2.4073717836E10, 2.4073717936E10]
g1(629.0, 314.0)@[3.7988145902E10, 3.798814598E10]
g1(884.0, 579.0)@[5.7791909686E10, 5.7791909768E10]
g1(538.0, 606.0)@[4.9540973186E10, 4.9540973279E10]
g1(224.0, 810.0)@[4.6340435798E10, 4.6340435905E10]
g1(232.0, 236.0)@[3.6954627618E10, 3.6954627711E10]
g1(516.0, 115.0)@[1.9281972319E10, 1.92819724E10]
g1(467.0, 125.0)@[3.455903586E9, 3.455903668E9]
g1(397.0, 676.0)@[2.8577357828E10, 2.8577357897E10]
g1(540.0, 474.0)@[4.5300940463E10, 4.5300940549E10]
g1(393.0, 730.0)@[1.5295919786E10, 1.5295919875E10]
g1(631.0, 661.0)@[3.341408872E10, 3.3414088813E10]
g1(614.0, 173.0)@[1.3431732135E10, 1.3431732215E10]
g1(572.0, 414.0)@[4.8719055261E10, 4.8719055374E10]
g1(838.0, 725.0)@[2.7842957904E10, 2.7842958001E10]
g1(707.0, 855.0)@[1.6364835037E10, 1.6364835112E10]
g1(805.0, 706.0)@[4.4924889828E10, 4.4924889925E10]
g1(438.0, 853.0)@[1.5865724362E10, 1.5865724435E10]
g1(880.0, 382.0)@[3.1882108285E10, 3.1882108386E10]
g1(158.0, 762.0)@[2.9942411293E10, 2.9942411378E10]
g1(846.0, 501.0)@[5.0518129505E10, 5.0518129598E10]
g1(890.0, 558.0)@[4.6078905781E10, 4.6078905862E10]
g1(973.0, 140.0)@[1.5660111636E10, 1.5660111726E10]
g1(190.0, 599.0)@[3.5126409055E10, 3.5126409168E10]
g1(269.0, 603.0)@[2.7502388036E10, 2.7502388141E10]
g1(820.0, 553.0)@[3.3130073061E10, 3.3130073143E10]
g1(153.0, 783.0)@[2.4515737966E10, 2.4515738021E10]
g1(559.0, 394.0)@[2.6574448704E10, 2.6574448782E10]
g1(218.0, 223.0)@[6.418881471E9, 6.418881575E9]
g1(492.0, 126.0)@[4.3185979548E10, 4.3185979654E10]
g1(838.0, 748.0)@[3.9052943113E10, 3.9052943187E10]
g1(25.0, 918.0)@[5.020007368E10, 5.0200073785E10]
g1(5.0, 805.0)@[4.7883452554E10, 4.7883452632E10]
g1(285.0, 368.0)@[8.498136605E9, 8.498136704E9]
g1(406.0, 803.0)@[1.9501356428E10, 1.9501356528E10]
g1(332.0, 883.0)@[6.0946134973E10, 6.0946135065E10]
g1(222.0, 508.0)@[2.9801575151E10, 2.980157524E10]
g1(595.0, 389.0)@[6.1533205503E10, 6.1533205564E10]
g1(959.0, 862.0)@[1.3747159773E10, 1.3747159873E10]
g1(525.0, 939.0)@[2.7603233161E10, 2.7603233262E10]
g1(674.0, 730.0)@[2.861294203E10, 2.8612942129E10]
g1(549.0, 691.0)@[4.3276822513E10, 4.3276822622E10]
g1(540.0, 448.0)@[3.842711419E9, 3.842711513E9]
g1(322.0, 256.0)@[6.0674716901E10, 6.0674717E10]
g1(704.0, 651.0)@[6.1559529763E10, 6.155952986E10]
g1(394.0, 966.0)@[4.9459793668E10, 4.9459793739E10]
g1(667.0, 792.0)@[1.61690498E10, 1.6169049886E10]
g1(244.0, 917.0)@[7.51075225E9, 7.510752331E9]
g1(161.0, 485.0)@[5.897059252E9, 5.897059344E9]
g1(992.0, 44.0)@[2.6922945519E10, 2.6922945606E10]
g1(988.0, 651.0)@[3.9488929264E10, 3.9488929358E10]
g1(614.0, 444.0)@[3.4848768762E10, 3.4848768863E10]
g1(920.0, 71.0)@[4.785344937E9, 4.785345051E9]
g1(573.0, 4.0)@[4.507069867E10, 4.5070698755E10]
g1(194.0, 949.0)@[5.4077741085E10, 5.4077741158E10]
g1(335.0, 11.0)@[6.378016455E9, 6.378016526E9]
g1(244.0, 177.0)@[3.0053602854E10, 3.0053602955E10]
g1(419.0, 600.0)@[6.1223170695E10, 6.1223170784E10]
g1(376.0, 3.0)@[5.9966809744E10, 5.996680986E10]
g1(915.0, 489.0)@[1.5543186578E10, 1.5543186677E10]
g1(483.0, 845.0)@[1.6658167067E10, 1.6658167144E10]
g1(427.0, 654.0)@[2.9463001777E10, 2.9463001861E10]
g1(313.0, 712.0)@[9.148878263E9, 9.148878358E9]
g1(586.0, 230.0)@[5.1963076741E10, 5.1963076846E10]
g1(503.0, 761.0)@[3.5762148086E10, 3.5762148197E10]
g1(296.0, 796.0)@[3.9820579957E10, 3.9820580039E10]
g1(963.0, 915.0)@[3.813963672E10, 3.8139636807E10]
g1(379.0, 149.0)@[8.484354592E9, 8.484354679E9]
g1(541.0, 541.0)@[2.9846264917E10, 2.9846265002E10]
g1(165.0, 549.0)@[3.396998542E10, 3.3969985496E10]
g1(502.0, 429.0)@[2.880545563E10, 2.8805455712E10]
g1(896.0, 132.0)@[6.2689237916E10, 6.2689238015E10]
g1(813.0, 577.0)@[2.0767425905E10, 2.0767425988E10]
g1(822.0, 475.0)@[1.3868972405E10, 1.3868972498E10]
g1(613.0, 223.0)@[7.258061565E9, 7.258061669E9]
g1(672.0, 536.0)@[5.459510051E9, 5.459510137E9]
g1(599.0, 3.0)@[2.2587326897E10, 2.2587326987E10]
g1(806.0, 485.0)@[1.1325152329E10, 1.1325152413E10]
g1(331.0, 912.0)@[1.1146465448E10, 1.1146465525E10]
g1(345.0, 507.0)@[5.3987210711E10, 5.3987210814E10]
g1(727.0, 486.0)@[1.8551414596E10, 1.8551414692E10]
g1(675.0, 29.0)@[1.9490371417E10, 1.9490371508E10]
g1(131.0, 457.0)@[1.6806255776E10, 1.6806255871E10]
g1(679.0, 369.0)@[6.071788869E10, 6.0717888819E10]
g1(861.0, 991.0)@[2.8674331718E10, 2.8674331812E10]
g1(257.0, 336.0)@[6.739953239E9, 6.739953319E9]
g1(142.0, 558.0)@[9.012413731E9, 9.012413832E9]
g1(967.0, 996.0)@[5.1288840844E10, 5.1288840935E10]
g1(910.0, 30.0)@[1.133628252E10, 1.1336282602E10]
g1(695.0, 719.0)@[5.1387770211E10, 5.1387770308E10]
g1(745.0, 997.0)@[3.9092612904E10, 3.9092612975E10]
g1(591.0, 465.0)@[5.7622366156E10, 5.762236624E10]
g1(639.0, 41.0)@[1.9167096016E10, 1.916709614E10]
g1(26.0, 611.0)@[5.0764077974E10, 5.076407806E10]
g1(558.0, 697.0)@[1.9272608203E10, 1.9272608276E10]
g1(285.0, 831.0)@[2.220550352E10, 2.220550363E10]
g1(193.0, 964.0)@[1.4942436405E10, 1.4942436489E10]
g1(909.0, 693.0)@[9.800175649E9, 9.800175754E9]
g1(828.0, 248.0)@[2.2896962748E10, 2.2896962856E10]
g1(952.0, 311.0)@[1.5655989853E10, 1.5655989924E10]
g1(940.0, 987.0)@[4.5613144532E10, 4.5613144603E10]
g1(729.0, 625.0)@[4.2907679951E10, 4.2907680038E10]
g1(685.0, 365.0)@[2.173463084E10, 2.1734630923E10]
g1(390.0, 111.0)@[1.4387827362E10, 1.4387827456E10]
g1(449.0, 983.0)@[1.9272586032E10, 1.9272586133E10]
g1(144.0, 249.0)@[4.4778567182E10, 4.4778567257E10]
g1(34.0, 999.0)@[4.1218748675E10, 4.1218748772E10]
g1(620.0, 687.0)@[4.9953886768E10, 4.9953886875E10]
g1(99.0, 649.0)@[2.9334054067E10, 2.9334054184E10]
g1(154.0, 575.0)@[5.58190932E9, 5.581909413E9]
